DATE,GNP
1947-01-01,244.1
1947-04-01,247.4
1947-07-01,251.2
1947-10-01,261.5
1948-01-01,267.6
1948-04-01,274.4
1948-07-01,281.0
1948-10-01,282.1
1949-01-01,276.8
1949-04-01,273.0
1949-07-01,274.5
1949-10-01,272.1
1950-01-01,282.4
1950-04-01,292.1
1950-07-01,310.1
1950-10-01,321.9
1951-01-01,337.9
1951-04-01,346.3
1951-07-01,353.8
1951-10-01,358.7
1952-01-01,362.2
1952-04-01,363.4
1952-07-01,370.1
1952-10-01,383.2
1953-01-01,390.4
1953-04-01,394.3
1953-07-01,393.5
1953-10-01,388.3
1954-01-01,387.9
1954-04-01,388.7
1954-07-01,393.6
1954-10-01,402.7
1955-01-01,416.2
1955-04-01,424.6
1955-07-01,433.4
1955-10-01,440.3
1956-01-01,443.3
1956-04-01,449.6
1956-07-01,454.9
1956-10-01,463.8
1957-01-01,473.7
1957-04-01,476.2
1957-07-01,483.5
1957-10-01,478.2
1958-01-01,471.0
1958-04-01,475.5
1958-07-01,489.3
1958-10-01,503.0
1959-01-01,513.6
1959-04-01,526.8
1959-07-01,528.0
1959-10-01,532.4
1960-01-01,546.3
1960-04-01,545.7
1960-07-01,549.2
1960-10-01,544.4
1961-01-01,549.5
1961-04-01,560.8
1961-07-01,571.7
1961-10-01,585.2
1962-01-01,598.8
1962-04-01,606.6
1962-07-01,613.6
1962-10-01,617.9
1963-01-01,627.2
1963-04-01,636.2
1963-07-01,649.4
1963-10-01,659.5
1964-01-01,676.2
1964-04-01,685.6
1964-07-01,697.9
1964-10-01,703.1
1965-01-01,724.7
1965-04-01,738.0
1965-07-01,755.4
1965-10-01,777.9
1966-01-01,802.3
1966-04-01,812.2
1966-07-01,825.8
1966-10-01,840.1
1967-01-01,851.3
1967-04-01,856.1
1967-07-01,872.3
1967-10-01,888.8
1968-01-01,917.0
1968-04-01,942.3
1968-07-01,958.6
1968-10-01,976.4
1969-01-01,1001.8
1969-04-01,1017.5
1969-07-01,1038.0
1969-10-01,1046.8
1970-01-01,1059.8
1970-04-01,1076.7
1970-07-01,1095.0
1970-10-01,1097.5
1971-01-01,1145.2
1971-04-01,1167.3
1971-07-01,1187.6
1971-10-01,1201.3
1972-01-01,1242.0
1972-04-01,1278.2
1972-07-01,1302.8
1972-10-01,1341.0
1973-01-01,1391.4
1973-04-01,1429.2
1973-07-01,1450.7
1973-10-01,1493.4
1974-01-01,1511.7
1974-04-01,1550.6
1974-07-01,1578.7
1974-10-01,1616.3
1975-01-01,1630.9
1975-04-01,1668.1
1975-07-01,1726.8
1975-10-01,1781.8
1976-01-01,1840.3
1976-04-01,1873.6
1976-07-01,1907.6
1976-10-01,1956.3
1977-01-01,2013.3
1977-04-01,2080.9
1977-07-01,2143.3
1977-10-01,2187.5
1978-01-01,2230.8
1978-04-01,2355.3
1978-07-01,2419.8
1978-10-01,2506.8
1979-01-01,2557.2
1979-04-01,2625.4
1979-07-01,2706.5
1979-10-01,2767.2
1980-01-01,2834.5
1980-04-01,2835.7
1980-07-01,2894.5
1980-10-01,3022.1
1981-01-01,3163.2
1981-04-01,3197.3
1981-07-01,3293.9
1981-10-01,3321.2
1982-01-01,3309.8
1982-04-01,3372.2
1982-07-01,3402.1
1982-10-01,3441.9
1983-01-01,3514.4
1983-04-01,3620.6
1983-07-01,3730.1
1983-10-01,3835.8
1984-01-01,3949.8
1984-04-01,4052.5
1984-07-01,4124.7
1984-10-01,4180.8
1985-01-01,4262.7
1985-04-01,4330.0
1985-07-01,4417.1
1985-10-01,4478.7
1986-01-01,4538.5
1986-04-01,4570.7
1986-07-01,4637.8
1986-10-01,4681.4
1987-01-01,4750.6
1987-04-01,4839.6
1987-07-01,4918.3
1987-10-01,5042.4
1988-01-01,5115.6
1988-04-01,5230.5
1988-07-01,5319.6
1988-10-01,5435.4
1989-01-01,5549.7
1989-04-01,5650.1
1989-07-01,5735.9
1989-10-01,5794.2
1990-01-01,5920.4
1990-04-01,6006.3
1990-07-01,6056.6
1990-10-01,6073.8
1991-01-01,6094.3
1991-04-01,6172.2
1991-07-01,6243.5
1991-10-01,6312.5
1992-01-01,6413.5
1992-04-01,6524.4
1992-07-01,6615.8
1992-10-01,6727.9
1993-01-01,6786.2
1993-04-01,6861.1
1993-07-01,6941.2
1993-10-01,7054.3
1994-01-01,7164.5
1994-04-01,7293.6
1994-07-01,7374.4
1994-10-01,7497.9
1995-01-01,7575.9
1995-04-01,7638.4
1995-07-01,7726.2
1995-10-01,7830.8
1996-01-01,7931.3
1996-04-01,8091.5
1996-07-01,8185.8
1996-10-01,8319.4
1997-01-01,8426.0
1997-04-01,8583.4
1997-07-01,8715.6
1997-10-01,8805.5
1998-01-01,8915.9
1998-04-01,9018.1
1998-07-01,9156.9
1998-10-01,9338.7
1999-01-01,9469.2
1999-04-01,9584.4
1999-07-01,9736.8
1999-10-01,9960.6
2000-01-01,10061.8
2000-04-01,10312.2
2000-07-01,10386.7
2000-10-01,10526.4
2001-01-01,10548.6
2001-04-01,10688.1
2001-07-01,10666.3
2001-10-01,10791.5
2002-01-01,10885.6
2002-04-01,10967.3
2002-07-01,11083.9
2002-10-01,11167.7
2003-01-01,11280.2
2003-04-01,11434.5
2003-07-01,11689.1
2003-10-01,11907.4
2004-01-01,12097.3
2004-04-01,12265.3
2004-07-01,12462.4
2004-10-01,12631.2
2005-01-01,12916.6
2005-04-01,13065.8
2005-07-01,13307.8
2005-10-01,13454.9
2006-01-01,13724.3
2006-04-01,13870.2
2006-07-01,13965.6
2006-10-01,14133.9
2007-01-01,14301.9
2007-04-01,14512.9
2007-07-01,14717.8
2007-10-01,14880.3
2008-01-01,14848.7
2008-04-01,14997.5
2008-07-01,15045.2
2008-10-01,14671.0
2009-01-01,14512.3
2009-04-01,14465.1
2009-07-01,14563.6
2009-10-01,14738.1
2010-01-01,14884.7
2010-04-01,15093.9
2010-07-01,15257.4
2010-10-01,15445.4
2011-01-01,15466.5
2011-04-01,15692.0
2011-07-01,15842.6
2011-10-01,16057.1
2012-01-01,16225.1
2012-04-01,16353.3
2012-07-01,16465.0
2012-10-01,16528.0
2013-01-01,16702.2
2013-04-01,16786.0
2013-07-01,17001.6
2013-10-01,17253.3
2014-01-01,17276.8
2014-04-01,17528.3
2014-07-01,17830.6
2014-10-01,17929.0
2015-01-01,18000.7
2015-04-01,18202.0
2015-07-01,18332.5
2015-10-01,18434.1
2016-01-01,18454.2
2016-04-01,18657.9
2016-07-01,18879.3
