DATE,GNPDEF
1/1/47,12.535
4/1/47,12.716
7/1/47,12.929
10/1/47,13.247
1/1/48,13.35
4/1/48,13.468
7/1/48,13.716
10/1/48,13.757
1/1/49,13.685
4/1/49,13.548
7/1/49,13.478
10/1/49,13.486
1/1/50,13.459
4/1/50,13.507
7/1/50,13.8
10/1/50,14.056
1/1/51,14.559
4/1/51,14.655
7/1/51,14.666
10/1/51,14.833
1/1/52,14.827
4/1/52,14.846
7/1/52,15.011
10/1/52,15.053
1/1/53,15.059
4/1/53,15.088
7/1/53,15.152
10/1/53,15.182
1/1/54,15.229
4/1/54,15.245
7/1/54,15.264
10/1/54,15.307
1/1/55,15.382
4/1/55,15.446
7/1/55,15.555
10/1/55,15.708
1/1/56,15.866
4/1/56,15.96
7/1/56,16.159
10/1/56,16.227
1/1/57,16.447
4/1/57,16.563
7/1/57,16.663
10/1/57,16.673
1/1/58,16.853
4/1/58,16.902
7/1/58,17.004
10/1/58,17.085
1/1/59,17.131
4/1/59,17.156
7/1/59,17.221
10/1/59,17.288
1/1/60,17.36
4/1/60,17.405
7/1/60,17.468
10/1/60,17.521
1/1/61,17.56
4/1/61,17.603
7/1/61,17.65
10/1/61,17.707
1/1/62,17.8
4/1/62,17.829
7/1/62,17.866
10/1/62,17.902
1/1/63,17.98
4/1/63,18.01
7/1/63,18.033
10/1/63,18.179
1/1/64,18.237
4/1/64,18.281
7/1/64,18.356
10/1/64,18.439
1/1/65,18.533
4/1/65,18.616
7/1/65,18.69
10/1/65,18.817
1/1/66,18.939
4/1/66,19.095
7/1/66,19.28
10/1/66,19.444
1/1/67,19.525
4/1/67,19.624
7/1/67,19.811
10/1/67,20.029
1/1/68,20.252
4/1/68,20.466
7/1/68,20.668
10/1/68,20.96
1/1/69,21.177
4/1/69,21.447
7/1/69,21.749
10/1/69,22.029
1/1/70,22.339
4/1/70,22.652
7/1/70,22.838
10/1/70,23.139
1/1/71,23.493
4/1/71,23.803
7/1/71,24.045
10/1/71,24.245
1/1/72,24.619
4/1/72,24.771
7/1/72,25.003
10/1/72,25.322
1/1/73,25.617
4/1/73,26.008
7/1/73,26.505
10/1/73,27.033
1/1/74,27.545
4/1/74,28.198
7/1/74,29.015
10/1/74,29.867
1/1/75,30.547
4/1/75,31.004
7/1/75,31.558
10/1/75,32.085
1/1/76,32.421
4/1/76,32.751
7/1/76,33.176
10/1/76,33.763
1/1/77,34.306
4/1/77,34.79
7/1/77,35.219
10/1/77,35.982
1/1/78,36.518
4/1/78,37.189
7/1/78,37.811
10/1/78,38.606
1/1/79,39.296
4/1/79,40.245
7/1/79,41.104
10/1/79,41.924
1/1/80,42.796
4/1/80,43.735
7/1/80,44.741
10/1/80,45.977
1/1/81,47.128
4/1/81,48.011
7/1/81,48.877
10/1/81,49.794
1/1/82,50.489
4/1/82,51.096
7/1/82,51.832
10/1/82,52.408
1/1/83,52.833
4/1/83,53.194
7/1/83,53.751
10/1/83,54.147
1/1/84,54.724
4/1/84,55.185
7/1/84,55.631
10/1/84,56.003
1/1/85,56.644
4/1/85,57.001
7/1/85,57.33
10/1/85,57.663
1/1/86,57.943
4/1/86,58.177
7/1/86,58.418
10/1/86,58.746
1/1/87,59.18
4/1/87,59.579
7/1/87,60.013
10/1/87,60.511
1/1/88,60.986
4/1/88,61.576
7/1/88,62.302
10/1/88,62.803
1/1/89,63.495
4/1/89,64.154
7/1/89,64.62
10/1/89,65.072
1/1/90,65.793
4/1/90,66.475
7/1/90,67.073
10/1/90,67.587
1/1/91,68.265
4/1/91,68.734
7/1/91,69.239
10/1/91,69.614
1/1/92,69.912
4/1/92,70.357
7/1/92,70.69
10/1/92,71.167
1/1/93,71.572
4/1/93,72.007
7/1/93,72.439
10/1/93,72.816
1/1/94,73.167
4/1/94,73.532
7/1/94,73.931
10/1/94,74.339
1/1/95,74.769
4/1/95,75.1
7/1/95,75.458
10/1/95,75.831
1/1/96,76.242
4/1/96,76.532
7/1/96,76.748
10/1/96,77.138
1/1/97,77.616
4/1/97,77.827
7/1/97,78.104
10/1/97,78.365
1/1/98,78.493
4/1/98,78.658
7/1/98,78.954
10/1/98,79.202
1/1/99,79.599
4/1/99,79.868
7/1/99,80.157
10/1/99,80.523
1/1/00,81.138
4/1/00,81.597
7/1/00,82.125
10/1/00,82.567
1/1/01,83.087
4/1/01,83.673
7/1/01,83.948
10/1/01,84.201
1/1/02,84.471
4/1/02,84.786
7/1/02,85.165
10/1/02,85.626
1/1/03,86.155
4/1/03,86.431
7/1/03,86.909
10/1/03,87.321
1/1/04,88.083
4/1/04,88.85
7/1/04,89.398
10/1/04,90.026
1/1/05,90.861
4/1/05,91.52
7/1/05,92.378
10/1/05,93.08
1/1/06,93.81
4/1/06,94.565
7/1/06,95.224
10/1/06,95.557
1/1/07,96.631
4/1/07,97.172
7/1/07,97.51
10/1/07,97.939
1/1/08,98.502
4/1/08,98.989
7/1/08,99.674
10/1/08,99.805
1/1/09,100.056
4/1/09,99.893
7/1/09,99.876
10/1/09,100.174
1/1/10,100.64
4/1/10,101.078
7/1/10,101.538
10/1/10,102.059
1/1/11,102.519
4/1/11,103.27
7/1/11,103.892
10/1/11,104.043
1/1/12,104.593
4/1/12,105.069
7/1/12,105.629
10/1/12,106.057
1/1/13,106.473
4/1/13,106.696
7/1/13,107.209
10/1/13,107.76
1/1/14,108.241
4/1/14,108.83
7/1/14,109.283
10/1/14,109.414
1/1/15,109.405
4/1/15,110.011
7/1/15,110.344
10/1/15,110.593
1/1/16,110.714
4/1/16,111.34
7/1/16,111.729
