CC,time,X,Y,dX,dY
0.5,0,16.46165656,5.231673649,73.94154291,5.044667314
0.5,0.52,51.73554609,9.080718971,53.9589913,12.53830641
0.5,1.01,73.83109838,19.26667098,47.75591826,29.82775821
0.5,1.54,99.91386741,39.43431756,36.7760171,43.86760386
0.5,2.04,104.6517507,60.56948421,-20.2847697,35.86213572
0.5,2.51,79.86101284,70.47013927,-87.38164015,2.017376236
0.5,3,34.51021297,58.88788728,-64.51902715,-50.6562794
0.5,3.46,27.14623422,31.4879107,23.52312345,-50.73726631
0.5,3.97,52.74106597,19.66965926,69.63742227,2.503253069
0.5,4.5,92.26291821,33.0180223,71.71361358,45.82902277
0.5,4.95,110.4944465,56.25308848,-12.84639061,47.44609943
0.5,5.47,78.80424608,70.83269273,-69.86463457,5.605778506
0.5,5.99,52.26835775,64.43181799,-43.61481401,-22.68423551
0.5,6.46,33.11209192,52.8428379,-31.42667531,-26.041728
0.5,6.98,29.9848347,39.21829935,27.32413367,-25.63954754
0.5,7.45,50.19295696,29.23462163,37.04392691,-13.60549477
0.5,7.95,61.68460199,25.70796507,24.19821523,-5.518168297
0.5,8.5,88.87496034,22.08658175,81.77507921,-4.88658213
0.5,8.96,143.9484562,22.44462965,162.6408672,8.376682902
0.5,9.49,236.7919871,35.26349631,145.0794782,44.82409376
0.5,10,270.3490368,65.64626648,-22.77946241,64.56969489
0.5,10.47,224.6839283,91.82091453,-155.7230156,42.31829486
0.5,10.96,134.9668091,101.0368602,-193.2773947,-9.586242912
0.5,11.47,52.19872656,85.01062725,-107.6131144,-40.46282467
0.5,11.96,28.09576214,66.34134725,-7.637157897,-36.98867762
0.5,12.46,34.55599317,47.8769694,28.8502533,-36.66762038
0.5,12.95,53.53518376,31.73437355,47.42269622,-25.95008043
0.5,13.46,81.04084818,25.75522716,59.15013347,6.045316603
0.5,13.98,110.8203783,30.3358582,49.50281757,-7.393800209
0.5,14.49,145.4610937,19.67092164,118.1500069,-13.45464612
0.5,15.02,231.8128929,26.01873446,167.2328219,33.29350602
0.5,15.51,280.4208717,48.40154499,-3.427324603,54.54746859
0.5,16.02,229.7088958,77.48329181,-148.6285085,56.40493294
0.5,16.51,156.9073323,100.7424328,-146.1815187,33.15924306
0.5,17,90.87160901,108.1939104,-116.6696214,-1.017709897
0.5,17.52,47.79107009,100.6760345,-41.49903018,-25.95187275
0.5,18.05,45.87286936,79.43990307,22.32654902,-58.56804104
0.5,18.51,58.30993036,50.52603575,24.29697762,-51.57152132
0.5,19.06,77.1544569,35.35010209,66.37897943,-11.74714456
0.5,19.51,125.2753906,33.15611332,143.6483126,2.557871331
0.5,20.05,221.1561127,40.15509323,205.9307973,24.17325114
0.5,20.54,283.6806573,62.09485349,-49.78274615,75.07047824
0.5,21.1,160.0132621,109.319206,-247.0092344,57.14476649
0.5,21.56,84.73022256,115.2028529,-94.46365524,-23.6524011
0.5,22.06,59.04925104,92.54381773,-24.98438795,-57.63675018
0.5,22.52,52.0032521,64.81765503,-4.864517243,-62.81534467
0.5,23.02,54.48363349,35.76783694,12.39529616,-46.01100255
0.5,23.54,72.18155435,20.32071781,72.06725904,-17.33601103
0.5,24.04,125.3068448,16.92143688,122.284124,6.165788071
0.5,24.58,178.674336,30.75573781,54.20334882,47.90310051
0.5,25.08,177.7529917,60.41493775,-53.01324419,58.89458961
0.5,25.6,132.4552313,82.78483554,-107.1598681,24.02136014
0.5,26.04,86.32494104,85.73542967,-95.12826074,-9.208285323
0.5,26.51,54.16957527,74.8728756,-33.26528661,-35.41646736
0.5,27.05,56.31605677,53.18710621,28.37543199,-37.34331721
0.5,27.55,71.47328053,38.35543347,23.4881451,-23.90839724
0.5,28.05,86.37618057,28.88700768,58.03273043,-12.82368496
0.5,28.55,151.4152863,26.67336945,224.032968,5.110752954
0.5,29.04,281.2321453,34.83485482,233.1844083,29.28071452
0.5,29.55,338.4180527,58.62825506,-21.32478212,67.1365016
0.5,30.04,275.5219464,93.63374772,-202.2955103,57.37899737
0.5,30.59,152.8846605,107.7673766,-218.5015062,-1.270237507
0.5,30.99,79.4267333,101.7826793,-135.4820799,-26.16002835
0.5,31.48,40.72093151,87.44483618,-41.30940219,-24.7989527
0.5,32.03,30.11309872,78.49470895,3.573455729,-12.71817172
0.5,32.5,38.11513667,71.40055482,23.67855333,-18.63509589
0.5,33.03,45.99497067,57.92563817,-2.589323624,-33.69555924
0.5,33.49,42.30589226,40.54418472,3.774811581,-37.50123082
0.5,34.02,61.64949242,25.5109984,68.50693478,-15.45935154
0.5,34.49,105.6123374,24.45888295,115.8464417,9.417073385
0.5,35.08,185.9365505,36.03309522,152.1487456,27.35107531
